Title,Year,Rating,Genre,Runtime,Director
Tombstone,1993,7.8,"Action, Biography, Drama",130 min,George P. Cosmatos
The Fugitive,1993,7.8,"Action, Crime, Drama",130 min,Andrew Davis
Batman: Mask of the Phantasm,1993,7.8,"Animation, Action, Crime",76 min,Kevin Altieri
Lat sau san taam,1992,7.8,"Action, Crime, Thriller",128 min,John Woo
Dip huet seung hung,1989,7.8,"Action, Crime, Drama",111 min,John Woo
Predator,1987,7.8,"Action, Adventure, Sci-Fi",107 min,John McTiernan
Evil Dead II,1987,7.8,"Action, Comedy, Fantasy",84 min,Sam Raimi
Ghostbusters,1984,7.8,"Action, Comedy, Fantasy",105 min,Ivan Reitman
Badlands,1973,7.8,"Action, Crime, Drama",94 min,Terrence Malick
Bonnie and Clyde,1967,7.8,"Action, Biography, Crime",111 min,Arthur Penn
The Longest Day,1962,7.8,"Action, Drama, History",178 min,Ken Annakin
Red River,1948,7.8,"Action, Adventure, Drama",133 min,Howard Hawks
Key Largo,1948,7.8,"Action, Crime, Drama",100 min,John Huston
Scarface: The Shame of the Nation,1932,7.8,"Action, Crime, Drama",93 min,Howard Hawks
Deadpool 2,2018,7.7,"Action, Adventure, Comedy",119 min,David Leitch
Mission: Impossible - Fallout,2018,7.7,"Action, Adventure, Thriller",147 min,Christopher McQuarrie
Kingsman: The Secret Service,2014,7.7,"Action, Adventure, Comedy",129 min,Matthew Vaughn
Captain America: The Winter Soldier,2014,7.7,"Action, Adventure, Sci-Fi",136 min,Anthony Russo
The Lego Movie,2014,7.7,"Animation, Action, Adventure",100 min,Christopher Miller
Star Trek Into Darkness,2013,7.7,"Action, Adventure, Sci-Fi",132 min,J.J. Abrams
X: First Class,2011,7.7,"Action, Adventure, Sci-Fi",131 min,Matthew Vaughn
Skyfall,2012,7.7,"Action, Adventure, Thriller",143 min,Sam Mendes
Lucky Number Slevin,2006,7.7,"Action, Crime, Drama",110 min,Paul McGuigan
3:10 to Yuma,2007,7.7,"Action, Crime, Drama",122 min,James Mangold
Kung fu,2004,7.7,"Action, Comedy, Fantasy",99 min,Stephen Chow
The Bourne Supremacy,2004,7.7,"Action, Mystery, Thriller",108 min,Paul Greengrass
Man on Fire,2004,7.7,"Action, Crime, Drama",146 min,Tony Scott
The Last Samurai,2003,7.7,"Action, Drama",154 min,Edward Zwick
Vampire Hunter D: Bloodlust,2000,7.7,"Animation, Action, Fantasy",103 min,Yoshiaki Kawajiri
The Fifth Element,1997,7.7,"Action, Adventure, Sci-Fi",126 min,Luc Besson
The Last of the Mohicans,1992,7.7,"Action, Adventure, Drama",112 min,Michael Mann
Empire of the Sun,1987,7.7,"Action, Drama, History",153 min,Steven Spielberg
Star Trek II: The Wrath of Khan,1982,7.7,"Action, Adventure, Sci-Fi",113 min,Nicholas Meyer
First Blood,1982,7.7,"Action, Adventure",93 min,Ted Kotcheff
The Taking of Pelham One Two Three,1974,7.7,"Action, Crime, Thriller",104 min,Joseph Sargent
Enter the Dragon,1973,7.7,"Action, Crime, Drama",102 min,Robert Clouse
The French Connection,1971,7.7,"Action, Crime, Drama",104 min,William Friedkin
Dirty Harry,1971,7.7,"Action, Crime, Thriller",102 min,Don Siegel
Where Eagles Dare,1968,7.7,"Action, Adventure, War",158 min,Brian G. Hutton
The Dirty Dozen,1967,7.7,"Action, Adventure, War",150 min,Robert Aldrich
Goldfinger,1964,7.7,"Action, Adventure, Thriller",110 min,Guy Hamilton
The Magnificent Seven,1960,7.7,"Action, Adventure, Western",128 min,John Sturges
Guardians of the Galaxy Vol. 2,2017,7.6,"Action, Adventure, Comedy",136 min,James Gunn
Baby Driver,2017,7.6,"Action, Crime, Drama",113 min,Edgar Wright
Only the Brave,2017,7.6,"Action, Biography, Drama",134 min,Joseph Kosinski
Incredibles 2,2018,7.6,"Animation, Action, Adventure",118 min,Brad Bird
Sicario,2015,7.6,"Action, Crime, Drama",121 min,Denis Villeneuve
Hell or High Water,2016,7.6,"Action, Crime, Drama",102 min,David Mackenzie
Dawn of the Planet of the Apes,2014,7.6,"Action, Adventure, Drama",130 min,Matt Reeves
Serbuan maut,2011,7.6,"Action, Thriller",101 min,Gareth Evans
End of Watch,2012,7.6,"Action, Crime, Drama",109 min,David Ayer
Kick-Ass,2010,7.6,"Action, Comedy, Crime",117 min,Matthew Vaughn
Celda 211,2009,7.6,"Action, Adventure, Crime",113 min,Daniel Monzón
Sherlock Holmes,2009,7.6,"Action, Adventure, Mystery",128 min,Guy Ritchie
Eastern Promises,2007,7.6,"Action, Crime, Drama",100 min,David Cronenberg
Huo Yuan Jia,2006,7.6,"Action, Biography, Drama",104 min,Ronny Yu
